FixtureName,Position,XP,InsertDateRounded,current,voltage,pd_current,tempC,Burn In,SN,waferID,cellID,barID,dieID
Fixture1,9,XP-1204,2024-06-22T00:00:00Z,1.6900000000000002e-4,-0.002,4.57e-7,40,0,71634_10-23-54-89,71634_10,23,54,89
Fixture1,9,XP-1204,2024-06-22T00:00:00Z,2.9099999999999997e-4,0.497,4.6999999999999995e-7,40,0,71634_10-23-54-89,71634_10,23,54,89
Fixture1,9,XP-1204,2024-06-22T00:00:00Z,5.36e-4,0.669,4.8e-7,40.1,0,71634_10-23-54-89,71634_10,23,54,89
Fixture1,9,XP-1204,2024-06-22T00:00:00Z,7.800000000000001e-4,0.693,4.879999999999999e-7,40.1,0,71634_10-23-54-89,71634_10,23,54,89
Fixture1,9,XP-1204,2024-06-22T00:00:00Z,0.001024,0.707,4.95e-7,40,0,71634_10-23-54-89,71634_10,23,54,89
Fixture1,9,XP-1204,2024-06-22T00:00:00Z,0.001268,0.717,5.06e-7,40.1,0,71634_10-23-54-89,71634_10,23,54,89
Fixture1,9,XP-1204,2024-06-22T00:00:00Z,0.001513,0.726,5.149999999999999e-7,40.1,0,71634_10-23-54-89,71634_10,23,54,89
Fixture1,9,XP-1204,2024-06-22T00:00:00Z,0.0017569999999999999,0.733,5.33e-7,40,0,71634_10-23-54-89,71634_10,23,54,89
Fixture1,9,XP-1204,2024-06-22T00:00:00Z,0.0020009999999999997,0.739,5.5e-7,40.1,0,71634_10-23-54-89,71634_10,23,54,89
Fixture1,9,XP-1204,2024-06-22T00:00:00Z,0.002245,0.745,5.649999999999999e-7,40,0,71634_10-23-54-89,71634_10,23,54,89
Fixture1,9,XP-1204,2024-06-22T00:00:00Z,0.0024900000000000005,0.75,5.749999999999999e-7,40.1,0,71634_10-23-54-89,71634_10,23,54,89
Fixture1,9,XP-1204,2024-06-22T00:00:00Z,0.002734,0.753,5.86e-7,40,0,71634_10-23-54-89,71634_10,23,54,89
Fixture1,9,XP-1204,2024-06-22T00:00:00Z,0.002978,0.757,5.909999999999999e-7,40.1,0,71634_10-23-54-89,71634_10,23,54,89
Fixture1,9,XP-1204,2024-06-22T00:00:00Z,0.0032229999999999997,0.761,5.96e-7,40,0,71634_10-23-54-89,71634_10,23,54,89
Fixture1,9,XP-1204,2024-06-22T00:00:00Z,0.003467,0.765,6.009999999999999e-7,40,0,71634_10-23-54-89,71634_10,23,54,89
Fixture1,9,XP-1204,2024-06-22T00:00:00Z,0.003711,0.768,6.06e-7,40.1,0,71634_10-23-54-89,71634_10,23,54,89
Fixture1,9,XP-1204,2024-06-22T00:00:00Z,0.003955,0.77,6.11e-7,40,0,71634_10-23-54-89,71634_10,23,54,89
Fixture1,9,XP-1204,2024-06-22T00:00:00Z,0.004200000000000001,0.773,6.16e-7,40,0,71634_10-23-54-89,71634_10,23,54,89
Fixture1,9,XP-1204,2024-06-22T00:00:00Z,0.004444,0.776,6.16e-7,40,0,71634_10-23-54-89,71634_10,23,54,89
Fixture1,9,XP-1204,2024-06-22T00:00:00Z,0.0046879999999999995,0.779,6.16e-7,40,0,71634_10-23-54-89,71634_10,23,54,89
Fixture1,9,XP-1204,2024-06-22T00:00:00Z,0.004932000000000001,0.782,6.16e-7,40.1,0,71634_10-23-54-89,71634_10,23,54,89
Fixture1,9,XP-1204,2024-06-22T00:00:00Z,0.005116,0.784,6.16e-7,40.1,0,71634_10-23-54-89,71634_10,23,54,89
Fixture1,9,XP-1204,2024-06-22T00:00:00Z,0.00536,0.786,6.16e-7,40.1,0,71634_10-23-54-89,71634_10,23,54,89
Fixture1,9,XP-1204,2024-06-22T00:00:00Z,0.0056040000000000005,0.789,6.16e-7,40,0,71634_10-23-54-89,71634_10,23,54,89
Fixture1,9,XP-1204,2024-06-22T00:00:00Z,0.005848,0.791,6.16e-7,40.1,0,71634_10-23-54-89,71634_10,23,54,89
Fixture1,9,XP-1204,2024-06-22T00:00:00Z,0.006093,0.793,6.16e-7,40,0,71634_10-23-54-89,71634_10,23,54,89
Fixture1,9,XP-1204,2024-06-22T00:00:00Z,0.006337,0.795,6.16e-7,40,0,71634_10-23-54-89,71634_10,23,54,89
Fixture1,9,XP-1204,2024-06-22T00:00:00Z,0.006581000000000001,0.798,6.16e-7,40.1,0,71634_10-23-54-89,71634_10,23,54,89
Fixture1,9,XP-1204,2024-06-22T00:00:00Z,0.006825,0.799,6.16e-7,40,0,71634_10-23-54-89,71634_10,23,54,89
Fixture1,9,XP-1204,2024-06-22T00:00:00Z,0.007070000000000001,0.802,6.16e-7,40,0,71634_10-23-54-89,71634_10,23,54,89
